Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
chaperone cofactor-dependent protein refolding (GO:0051085)	4/26	8.082295562387204E-6	6.06749474004925E-4	0	0	37.64772727272727	441.4510238762915	DNAJB1;HSPA8;HSPA1B;HSPA1A
negative regulation of inclusion body assembly (GO:0090084)	3/10	1.4187907246385926E-5	9.319681572469755E-4	0	0	87.89248895434463	981.1544503878058	DNAJB1;HSPA1B;HSPA1A
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	3/10	1.4187907246385926E-5	9.319681572469755E-4	0	0	87.89248895434463	981.1544503878058	DNAJB1;JUN;HSPA1A
'de novo' posttranslational protein folding (GO:0051084)	4/31	1.6687556029356314E-5	0.0010316836109913814	0	0	30.66820987654321	337.37629271966244	DNAJB1;HSPA8;HSPA1B;HSPA1A
regulation of inclusion body assembly (GO:0090083)	3/11	1.943756475353003E-5	0.001123329833753244	0	0	76.9020618556701	834.256871154208	DNAJB1;HSPA1B;HSPA1A
inflammatory response (GO:0006954)	8/230	2.030758024863143E-5	0.001123329833753244	0	0	7.7077947512730125	83.27899426115023	IL1RN;PRDX5;CD40;CEBPB;CCRL2;FPR2;CCR2;TLR2
regulation of cellular response to stress (GO:0080135)	6/118	2.816378254021248E-5	0.0014800067724881657	0	0	11.277355623100304	118.15819708793121	HSPA8;DNAJB1;CEBPB;NUPR1;HSPA1B;HSPA1A
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	4/36	3.0647360561549374E-5	0.0015338274261994472	0	0	25.869791666666668	268.86381386041506	ZBP1;PARP14;HSPA1B;HSPA1A
regulation of mRNA catabolic process (GO:0061013)	6/122	3.399754060013557E-5	0.0016241552350337494	0	0	10.886280264123258	112.01135843336408	HSPA8;PSME1;PSME2;RPS27A;PSMB10;HSPA1A
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	5/75	3.695516302442839E-5	0.0016886902755945323	0	0	14.909774436090226	152.16625332614535	PSME1;PSME2;RPS27A;PSMB10;NFE2L2
cellular response to oxidative stress (GO:0034599)	6/125	3.897957082835639E-5	0.001706980372525107	0	0	10.610227069551225	107.72004251052259	PRDX5;JUN;SOD2;HSPA1B;NFE2L2;HSPA1A
response to interferon-gamma (GO:0034341)	5/80	5.046817087847377E-5	0.0021216819037310373	0	0	13.912280701754385	137.65043835300511	IFITM3;GBP5;CD40;IFITM2;TLR2
positive regulation of inflammatory response (GO:0050729)	5/89	8.41005554683844E-5	0.0033996032229719995	0	0	12.416040100250626	116.5058798270508	ZBP1;VAMP8;NUPR1;CCR2;TLR2
regulation of mRNA stability (GO:0043488)	6/146	9.259673006773614E-5	0.0036044134555996547	0	0	9.009118541033434	83.66999679598672	HSPA8;PSME1;PSME2;RPS27A;PSMB10;HSPA1A
interleukin-1-mediated signaling pathway (GO:0070498)	5/94	1.0904721332769338E-4	0.004093165043121633	0	0	11.715552927261975	106.88953725388168	IL1RN;PSME1;PSME2;RPS27A;PSMB10
negative regulation of protein ubiquitination (GO:0031397)	4/51	1.2276194853078428E-4	0.004449062341581182	0	0	17.60017730496454	158.4942334974267	DNAJA1;ISG15;HSPA1B;HSPA1A
cellular response to interleukin-1 (GO:0071347)	6/155	1.2866151736759353E-4	0.0045024615115779945	0	0	8.461088105097815	75.79718131633948	IL1RN;CD40;PSME1;PSME2;RPS27A;PSMB10
positive regulation of defense response (GO:0031349)	5/98	1.328033366878381E-4	0.0045024615115779945	0	0	11.209394453876627	100.06224230943795	ZBP1;GBP5;FPR2;CCR2;TLR2
cellular response to chemical stress (GO:0062197)	5/101	1.5307759902642934E-4	0.004817017278172633	0	0	10.857456140350877	95.37803551823693	PRDX5;SOD2;HSPA1B;NFE2L2;HSPA1A
negative regulation of viral genome replication (GO:0045071)	4/54	1.535840638561188E-4	0.004817017278172633	0	0	16.541666666666668	145.25671708113592	IFITM3;IFITM2;ISG15;IFIT1
negative regulation of apoptotic process (GO:0043066)	10/485	1.5786325376470017E-4	0.004817017278172633	0	0	4.543859649122807	39.775953999754826	DNAJA1;PRDX5;CCND2;SEMA4D;HCLS1;NUPR1;RPS27A;SOD2;HSPA1B;HSPA1A
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	4/55	1.649977374064841E-4	0.004817017278172633	0	0	16.216503267973856	141.2389130217239	IL1RN;ISG15;SAMHD1;PARP14
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	4/55	1.649977374064841E-4	0.004817017278172633	0	0	16.216503267973856	141.2389130217239	DNAJA1;ISG15;HSPA1B;HSPA1A
positive regulation of interleukin-18 production (GO:0032741)	2/5	2.450871709985121E-4	0.00677859517682727	0	0	135.35374149659864	1125.3170126751409	GBP5;TLR2
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)	2/5	2.450871709985121E-4	0.00677859517682727	0	0	135.35374149659864	1125.3170126751409	HSPA1B;HSPA1A
defense response to bacterium (GO:0042742)	6/176	2.5651690320235E-4	0.006912801673478715	0	0	7.4080100125156445	61.2517676857547	GSDMD;CEBPB;ISG15;FPR2;CFP;TLR2
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4/64	2.9699395180546117E-4	0.007613186423110724	0	0	13.777777777777779	111.90033879709756	DNAJA1;SOD2;HSPA1A;NFE2L2
pre-replicative complex assembly (GO:0036388)	4/64	2.9699395180546117E-4	0.007613186423110724	0	0	13.777777777777779	111.90033879709756	PSME1;PSME2;RPS27A;PSMB10
cellular response to unfolded protein (GO:0034620)	3/27	3.251243529193447E-4	0.008135849879005508	0	0	25.61340206185567	205.70898832313847	HSPA8;HSPA1B;HSPA1A
regulation of viral genome replication (GO:0045069)	4/67	3.541950453595573E-4	0.008194046991892981	0	0	13.119708994708995	104.244783981203	IFITM3;IFITM2;ISG15;IFIT1
cellular heat acclimation (GO:0070370)	2/6	3.664321680484968E-4	0.008194046991892981	0	0	101.51020408163265	803.1179907171842	HSPA1B;HSPA1A
regulation of interleukin-1-mediated signaling pathway (GO:2000659)	2/6	3.664321680484968E-4	0.008194046991892981	0	0	101.51020408163265	803.1179907171842	ZBP1;IL1RN
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)	2/6	3.664321680484968E-4	0.008194046991892981	0	0	101.51020408163265	803.1179907171842	HSPA1B;HSPA1A
heat acclimation (GO:0010286)	2/6	3.664321680484968E-4	0.008194046991892981	0	0	101.51020408163265	803.1179907171842	HSPA1B;HSPA1A
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	4/68	3.7489829307749893E-4	0.00820871054217607	0	0	12.9140625	101.87717668990722	CD40;SOCS1;HCLS1;PARP14
aerobic electron transport chain (GO:0019646)	4/70	4.188784573037018E-4	0.008397042983993682	0	0	12.521464646464647	97.39107248944859	NDUFA11;NDUFC2;COX5B;UQCRH
negative regulation of viral process (GO:0048525)	4/70	4.188784573037018E-4	0.008397042983993682	0	0	12.521464646464647	97.39107248944859	IFITM3;IFITM2;ISG15;IFIT1
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	4/71	4.421954336138499E-4	0.008397042983993682	0	0	12.333955223880597	95.26449293118738	CDKN1A;CCND2;PSME1;PSME2
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	4/71	4.421954336138499E-4	0.008397042983993682	0	0	12.333955223880597	95.26449293118738	NDUFA11;NDUFC2;COX5B;UQCRH
regulation of type I interferon-mediated signaling pathway (GO:0060338)	3/30	4.4640250260442E-4	0.008397042983993682	0	0	22.764032073310425	175.60833452775756	ZBP1;ISG15;SAMHD1
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	3/30	4.4640250260442E-4	0.008397042983993682	0	0	22.764032073310425	175.60833452775756	CD40;IRF7;RPS27A
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	4/73	4.915838573587474E-4	0.008397042983993682	0	0	11.97524154589372	91.22592932976644	VAMP8;PSME1;PSME2;PSMB10
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	3/31	4.924436798304106E-4	0.008397042983993682	0	0	21.949926362297496	167.17350275311443	SOCS1;SEMA4D;PARP14
positive regulation of RNA splicing (GO:0033120)	3/31	4.924436798304106E-4	0.008397042983993682	0	0	21.949926362297496	167.17350275311443	RBM3;TRA2A;HSPA1A
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	3/31	4.924436798304106E-4	0.008397042983993682	0	0	21.949926362297496	167.17350275311443	CD40;IRF7;RPS27A
cellular response to hypoxia (GO:0071456)	5/131	5.111317635071766E-4	0.008397042983993682	0	0	8.259816207184628	62.60018184811349	PSME1;PSME2;PTGS2;RPS27A;PSMB10
cellular response to laminar fluid shear stress (GO:0071499)	2/7	5.113327792346296E-4	0.008397042983993682	0	0	81.20408163265306	615.4043164173056	ASS1;NFE2L2
complement activation, alternative pathway (GO:0006957)	2/7	5.113327792346296E-4	0.008397042983993682	0	0	81.20408163265306	615.4043164173056	CFP;CFB
response to host defenses (GO:0052200)	2/7	5.113327792346296E-4	0.008397042983993682	0	0	81.20408163265306	615.4043164173056	RPS27A;TLR2
positive regulation of microtubule nucleation (GO:0090063)	2/7	5.113327792346296E-4	0.008397042983993682	0	0	81.20408163265306	615.4043164173056	HSPA1B;HSPA1A
modulation by symbiont of host defense response (GO:0052031)	2/7	5.113327792346296E-4	0.008397042983993682	0	0	81.20408163265306	615.4043164173056	RPS27A;TLR2
cellular response to topologically incorrect protein (GO:0035967)	3/32	5.414210691078273E-4	0.0087543622097281	0	0	21.191965872733736	159.39141404206075	HSPA8;HSPA1B;HSPA1A
positive regulation of type I interferon production (GO:0032481)	4/77	6.019463184977087E-4	0.009585539102137755	0	0	11.316780821917808	83.91780339915707	ZBP1;IRF7;ISG15;TLR2
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	4/78	6.320694999065338E-4	0.00991500066271294	0	0	11.163288288288289	82.23448822300136	VAMP8;PSME1;PSME2;PSMB10
negative regulation of programmed cell death (GO:0043069)	8/381	6.529001329317759E-4	0.009919617780377048	0	0	4.552278820375335	33.38680607704044	DNAJA1;PRDX5;CCND2;SEMA4D;NUPR1;RPS27A;HSPA1B;HSPA1A
regulation of cellular response to heat (GO:1900034)	4/79	6.632466538337369E-4	0.009919617780377048	0	0	11.01388888888889	80.60364364974052	DNAJB1;HSPA8;HSPA1B;HSPA1A
positive regulation of response to external stimulus (GO:0032103)	5/139	6.692051180227493E-4	0.009919617780377048	0	0	7.763550667714061	56.7470520628467	ZBP1;GBP5;FPR2;CCR2;TLR2
regulation of interleukin-18 production (GO:0032661)	2/8	6.795551666861537E-4	0.009919617780377048	0	0	67.66666666666667	493.5655481733249	GBP5;TLR2
regulation of myeloid leukocyte differentiation (GO:0002761)	2/8	6.795551666861537E-4	0.009919617780377048	0	0	67.66666666666667	493.5655481733249	CEBPB;IRF7
negative regulation of cellular component organization (GO:0051129)	4/80	6.954983194111242E-4	0.010013270324672486	0	0	10.868421052631579	79.02300659763786	DNAJB1;HSPA8;HSPA1B;HSPA1A
regulation of cell cycle G1/S phase transition (GO:1902806)	3/36	7.681770335999374E-4	0.010623079767283345	0	0	18.619493908153704	133.5295206771706	CDKN1A;PSME1;PSME2
positive regulation of innate immune response (GO:0045089)	3/36	7.681770335999374E-4	0.010623079767283345	0	0	18.619493908153704	133.5295206771706	ZBP1;GBP5;FPR2
positive regulation of interferon-beta production (GO:0032728)	3/36	7.681770335999374E-4	0.010623079767283345	0	0	18.619493908153704	133.5295206771706	IRF7;ISG15;TLR2
regulation of defense response (GO:0031347)	4/83	7.989062229020882E-4	0.010904551172338893	0	0	10.454113924050633	74.56153162060659	ZBP1;PTGS2;SAMHD1;CCR2
regulation of vascular associated smooth muscle cell proliferation (GO:1904705)	3/37	8.329373632247138E-4	0.011117476570275554	0	0	18.070952092177077	128.13302753808438	CDKN1A;JUN;SOD2
anaphase-promoting complex-dependent catabolic process (GO:0031145)	4/84	8.356618925326059E-4	0.011117476570275554	0	0	10.322916666666666	73.16146753439465	PSME1;PSME2;RPS27A;PSMB10
response to type I interferon (GO:0034340)	2/9	8.70867194754317E-4	0.011299770638108483	0	0	57.99708454810496	408.64867956136595	ISG15;IFIT1
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	2/9	8.70867194754317E-4	0.011299770638108483	0	0	57.99708454810496	408.64867956136595	HSPA1B;HSPA1A
response to cytokine (GO:0034097)	5/150	9.43057893910248E-4	0.012087242030483787	0	0	7.170598911070781	49.95313752128969	IFITM3;CD40;IFITM2;HCLS1;ISG15
regulation of mRNA splicing, via spliceosome (GO:0048024)	4/90	0.0010816490463404552	0.012894140282232095	0	0	9.599806201550388	65.55965417135813	RBM3;RBM39;TRA2A;HNRNPA1
negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	2/10	0.0010850384206118583	0.012894140282232095	0	0	50.744897959183675	346.39177176286466	SOCS1;PARP14
regulation of microtubule nucleation (GO:0010968)	2/10	0.0010850384206118583	0.012894140282232095	0	0	50.744897959183675	346.39177176286466	HSPA1B;HSPA1A
response to laminar fluid shear stress (GO:0034616)	2/10	0.0010850384206118583	0.012894140282232095	0	0	50.744897959183675	346.39177176286466	ASS1;NFE2L2
modification-dependent macromolecule catabolic process (GO:0043632)	2/10	0.0010850384206118583	0.012894140282232095	0	0	50.744897959183675	346.39177176286466	ISG15;RPS27A
modulation by symbiont of host process (GO:0044003)	2/10	0.0010850384206118583	0.012894140282232095	0	0	50.744897959183675	346.39177176286466	RPS27A;TLR2
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	5/155	0.0010918919934525752	0.012894140282232095	0	0	6.9298245614035086	47.260317699825904	CD40;RPS27A;HSPA1B;TLR2;HSPA1A
negative regulation of mitotic cell cycle phase transition (GO:1901991)	4/92	0.0011738374459389707	0.013707812840909534	0	0	9.380681818181818	63.29593508345567	CDKN1A;PSME1;PSME2;PSMB10
copper ion transport (GO:0006825)	2/11	0.0013218400851343036	0.015105199010730869	0	0	45.10430839002267	298.984305122014	COX17;ATOX1
regulation of cell cycle phase transition (GO:1901987)	4/95	0.0013222438715387629	0.015105199010730869	0	0	9.070054945054945	60.12017970110368	CDKN1A;PSME1;PSME2;PSMB10
positive regulation of DNA-binding transcription factor activity (GO:0051091)	6/246	0.0014820513416898538	0.01674877376468856	0	0	5.2287234042553195	34.061619847535184	CD40;HCLS1;RPS27A;HSPA1B;TLR2;HSPA1A
negative regulation of leukocyte apoptotic process (GO:2000107)	2/12	0.001581045102291189	0.017491351605347785	0	0	40.59183673469388	261.8039188938469	IRF7;HCLS1
cellular response to fluid shear stress (GO:0071498)	2/12	0.001581045102291189	0.017491351605347785	0	0	40.59183673469388	261.8039188938469	ASS1;NFE2L2
protein localization to mitochondrion (GO:0070585)	2/13	0.0018624280503563755	0.020389707092964067	0	0	36.89981447124304	231.94759321375395	DNAJA1;ISG15
regulation of interferon-beta production (GO:0032648)	3/49	0.0018912091143729426	0.02049134823923673	0	0	13.348722545943524	83.70368414188104	IRF7;ISG15;TLR2
regulation of cellular amine metabolic process (GO:0033238)	3/51	0.0021222963043568428	0.022643415424477464	0	0	12.791237113402062	78.73334684431502	PSME1;PSME2;PSMB10
defense response to protozoan (GO:0042832)	2/14	0.0021657651600423137	0.022643415424477464	0	0	33.82312925170068	207.5042741698455	BATF2;CD40
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	2/14	0.0021657651600423137	0.022643415424477464	0	0	33.82312925170068	207.5042741698455	CD40;FPR2
regulation of protein ubiquitination (GO:0031396)	4/109	0.0021909058335320935	0.022643415424477464	0	0	7.85515873015873	48.10059473035339	DNAJA1;ISG15;HSPA1B;HSPA1A
regulation of protein phosphorylation (GO:0001932)	6/266	0.0021975531620330173	0.022643415424477464	0	0	4.8216039279869065	29.51019644870624	CD40;CEBPB;CCND2;SOCS1;SEMA4D;FPR2
protein homotetramerization (GO:0051289)	3/52	0.0022441220665619026	0.022898760116083102	0	0	12.529560277719336	76.42331236603597	GBP5;SAMHD1;SOD2
Fc-epsilon receptor signaling pathway (GO:0038095)	4/111	0.002340736699485574	0.023654944914993637	0	0	7.707554517133956	46.686889589314006	JUN;PSME1;PSME2;PSMB10
Fc receptor signaling pathway (GO:0038093)	4/112	0.0024182354828481615	0.02420538564260398	0	0	7.635802469135802	46.0035500446402	JUN;PSME1;PSME2;PSMB10
regulation of cellular amino acid metabolic process (GO:0006521)	3/54	0.0025005948185040003	0.024561917329417794	0	0	12.036992116434202	72.11634792982616	PSME1;PSME2;PSMB10
regulation of proteasomal protein catabolic process (GO:0061136)	3/54	0.0025005948185040003	0.024561917329417794	0	0	12.036992116434202	72.11634792982616	PSME1;PSME2;NUPR1
positive regulation of protein phosphorylation (GO:0001934)	7/371	0.002612113412291656	0.02541973329924565	0	0	4.039702233250621	24.026515424917168	CD40;CDKN1A;CCND2;RAP1A;SEMA4D;HCLS1;FPR2
cellular response to lectin (GO:1990858)	4/115	0.002661302293846886	0.025427533734846155	0	0	7.428303303303303	44.04196229800182	PSME1;PSME2;CLEC4E;PSMB10
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	4/115	0.002661302293846886	0.025427533734846155	0	0	7.428303303303303	44.04196229800182	PSME1;PSME2;CLEC4E;PSMB10
tumor necrosis factor-mediated signaling pathway (GO:0033209)	4/116	0.002745913476450517	0.025999595168914355	0	0	7.361607142857143	43.41611965307657	CD40;PSME1;PSME2;PSMB10
negative regulation of receptor signaling pathway via JAK-STAT (GO:0046426)	2/16	0.0028374149918175937	0.026390470410622043	0	0	28.988338192419825	170.01259891772904	SOCS1;PARP14
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	2/16	0.0028374149918175937	0.026390470410622043	0	0	28.988338192419825	170.01259891772904	ISG15;SAMHD1
cellular response to tumor necrosis factor (GO:0071356)	5/194	0.0029173525025782696	0.026668859485794245	0	0	5.489000278473963	32.03972689071003	CD40;PSME1;PSME2;PSMB10;NFE2L2
negative regulation of cell cycle G2/M phase transition (GO:1902750)	3/57	0.002918095947541711	0.026668859485794245	0	0	11.36655211912944	66.3445636168701	PSME1;PSME2;PSMB10
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	4/119	0.0030107863925517417	0.027278762918723106	0	0	7.168478260869565	41.61698745750336	PSME1;PSME2;CLEC4E;PSMB10
regulation of phagocytosis (GO:0050764)	3/58	0.0030661973063982524	0.027543362128415072	0	0	11.159325210871602	64.58255414819172	IL15RA;FPR2;TLR2
protein homooligomerization (GO:0051260)	4/121	0.003196760719070875	0.0277295316588004	0	0	7.04522792022792	40.47918311911139	GSDMD;GBP5;SAMHD1;SOD2
negative regulation of vascular associated smooth muscle cell proliferation (GO:1904706)	2/17	0.00320528834894988	0.0277295316588004	0	0	27.05442176870748	155.3722787250682	CDKN1A;SOD2
negative regulation of viral entry into host cell (GO:0046597)	2/17	0.00320528834894988	0.0277295316588004	0	0	27.05442176870748	155.3722787250682	IFITM3;IFITM2
response to reactive oxygen species (GO:0000302)	3/59	0.0032188419242375347	0.0277295316588004	0	0	10.959499263622975	62.89364704662167	PRDX5;JUN;SOD2
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	3/59	0.0032188419242375347	0.0277295316588004	0	0	10.959499263622975	62.89364704662167	CD40;HCLS1;PARP14
regulation of DNA-templated transcription, initiation (GO:2000142)	3/61	0.003537936569638058	0.029512056330938747	0	0	10.580519018841095	59.718688304120505	CDKN1A;CEBPB;JUN
pattern recognition receptor signaling pathway (GO:0002221)	3/61	0.003537936569638058	0.029512056330938747	0	0	10.580519018841095	59.718688304120505	CLEC4E;RPS27A;TLR2
positive regulation of interleukin-8 production (GO:0032757)	3/61	0.003537936569638058	0.029512056330938747	0	0	10.580519018841095	59.718688304120505	HSPA1B;TLR2;HSPA1A
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	2/18	0.0035942371173740815	0.029512056330938747	0	0	25.362244897959183	142.74945562505079	SOD2;NFE2L2
response to interferon-alpha (GO:0035455)	2/18	0.0035942371173740815	0.029512056330938747	0	0	25.362244897959183	142.74945562505079	IFITM3;IFITM2
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	2/18	0.0035942371173740815	0.029512056330938747	0	0	25.362244897959183	142.74945562505079	RBM3;TRA2A
regulation of inflammatory response (GO:0050727)	5/206	0.0037696157628215486	0.030635704777146604	0	0	5.158156585493585	28.78654846947556	ZBP1;FPR2;PTGS2;CCR2;TLR2
cellular response to reactive oxygen species (GO:0034614)	3/63	0.0038757213407073967	0.030635704777146604	0	0	10.22680412371134	56.78968343517464	PRDX5;JUN;NFE2L2
regulation of apoptotic process (GO:0042981)	10/742	0.003986219772539655	0.030635704777146604	0	0	2.909532483302975	16.074910706193087	ZBP1;DNAJA1;PRDX5;JUN;CCND2;SEMA4D;NUPR1;RPS27A;HSPA1B;HSPA1A
pyroptosis (GO:0070269)	2/19	0.004004045638803338	0.030635704777146604	0	0	23.869147659063625	131.7684366549516	GSDMD;ZBP1
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)	2/19	0.004004045638803338	0.030635704777146604	0	0	23.869147659063625	131.7684366549516	SOD2;NFE2L2
regulation of mitotic spindle assembly (GO:1901673)	2/19	0.004004045638803338	0.030635704777146604	0	0	23.869147659063625	131.7684366549516	HSPA1B;HSPA1A
regulation of neuroinflammatory response (GO:0150077)	2/19	0.004004045638803338	0.030635704777146604	0	0	23.869147659063625	131.7684366549516	NUPR1;PTGS2
positive regulation of monocyte chemotaxis (GO:0090026)	2/19	0.004004045638803338	0.030635704777146604	0	0	23.869147659063625	131.7684366549516	FPR2;CCR2
DNA-dependent DNA replication (GO:0006261)	4/129	0.004019087401475012	0.030635704777146604	0	0	6.591666666666667	36.36425024662468	PSME1;PSME2;RPS27A;PSMB10
regulation of cellular ketone metabolic process (GO:0010565)	3/64	0.004051724989556021	0.030635704777146604	0	0	10.058644583403751	55.40917594097984	PSME1;PSME2;PSMB10
regulation of innate immune response (GO:0045088)	3/64	0.004051724989556021	0.030635704777146604	0	0	10.058644583403751	55.40917594097984	GBP5;FPR2;SAMHD1
regulation of primary metabolic process (GO:0080090)	4/130	0.004131009340335844	0.030792133451723207	0	0	6.539021164021164	35.89421409310356	SIN3B;PSME1;PSME2;PSMB10
regulation of response to external stimulus (GO:0032101)	4/130	0.004131009340335844	0.030792133451723207	0	0	6.539021164021164	35.89421409310356	ZBP1;PTGS2;SAMHD1;CCR2
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	3/66	0.004418151436739624	0.03214247820524406	0	0	9.738340697103583	52.80161336369526	PSME1;PSME2;PSMB10
negative regulation of axon extension involved in axon guidance (GO:0048843)	2/20	0.004434499847536051	0.03214247820524406	0	0	22.541950113378686	122.13995997533476	SEMA4A;SEMA4D
negative regulation of viral life cycle (GO:1903901)	2/20	0.004434499847536051	0.03214247820524406	0	0	22.541950113378686	122.13995997533476	IFITM3;IFITM2
regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/20	0.004434499847536051	0.03214247820524406	0	0	22.541950113378686	122.13995997533476	HSPA1B;HSPA1A
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	4/134	0.004599780534540673	0.03311211877946745	0	0	6.336538461538462	34.10164486931323	CD40;SEMA4D;HCLS1;PARP14
regulation of cell population proliferation (GO:0042127)	10/764	0.004886889277027278	0.03493959612350795	0	0	2.821396993810787	15.013215758103087	JUN;CDKN1A;CCND2;COX17;TSPO;HCLS1;NUPR1;SOD2;HSPA1B;HSPA1A
positive regulation of peptidase activity (GO:0010952)	2/22	0.005356496957732583	0.03772502851579037	0	0	20.285714285714285	106.08302856731788	PSME1;PSME2
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	2/22	0.005356496957732583	0.03772502851579037	0	0	20.285714285714285	106.08302856731788	PSMB10;NFE2L2
protein tetramerization (GO:0051262)	3/71	0.005420056428053611	0.03772502851579037	0	0	9.020012128562765	47.06325773617709	GBP5;SAMHD1;SOD2
regulation of hematopoietic stem cell differentiation (GO:1902036)	3/71	0.005420056428053611	0.03772502851579037	0	0	9.020012128562765	47.06325773617709	PSME1;PSME2;PSMB10
