Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NRF1 ENCODE	11/1882	0.3395853954912458	0.6863525193547432	0	0	1.190969198710057	1.2862822618151575	FAM49B;HSPA8;PRDX5;NDUFA11;SIN3B;COX17;RSRP1;CACYBP;FAU;SAMHD1;HNRNPA1
BRCA1 ENCODE	18/3218	0.34073435037817174	0.6863525193547432	0	0	1.1455792682926829	1.2333903666802934	HSPA8;RBM39;JUN;NDUFA11;NDUFC2;CACYBP;MAGOHB;COX5B;SOD2;TMA16;DNAJA1;SYNGR2;SOCS1;TRA2A;PSME1;RPL24;FAU;NFE2L2
GATA2 CHEA	5/772	0.343175507218876	0.6863525193547432	0	0	1.3129074315514992	1.404171933228364	JUN;CDKN1A;CEBPB;SEMA4D;CCRL2
SOX2 CHEA	5/775	0.34616257669885575	0.6863525193547432	0	0	1.3075871496924127	1.3871495642702583	RTP4;IFITM2;CACYBP;UPP1;HNRNPA1
NANOG CHEA	4/595	0.3470321727074544	0.6863525193547432	0	0	1.3613226170332768	1.440739165355473	RTP4;IFITM2;UPP1;HNRNPA1
KAT2A ENCODE	1/90	0.3637331156781473	0.7010812387843254	0	0	2.2484394506866416	2.2739252396942655	RPL24
POU5F1 CHEA	2/261	0.37591413536260954	0.7010812387843254	0	0	1.5476321802852415	1.5141948520108266	IFITM2;UPP1
GATA1 CHEA	5/807	0.378111229906153	0.7010812387843254	0	0	1.25331408321302	1.2189317520761438	IFITM3;UBE2F;RAP1A;CCRL2;LIMD2
NFE2L2 CHEA	6/1022	0.4038309868929405	0.7257586823446104	0	0	1.1863796280784051	1.0757602127796144	RTP4;SEMA4A;CDKN1A;CEBPB;MAGOHB;PTGS2
NFIC ENCODE	2/279	0.40772959682281484	0.7257586823446104	0	0	1.4457378619317762	1.2970452801534647	JUN;UPP1
BCLAF1 ENCODE	5/851	0.4220125696243054	0.7364533077757486	0	0	1.1853925594127162	1.0226620816939247	JUN;NDUFC2;CACYBP;TMA16;NFE2L2
RAD21 ENCODE	7/1265	0.4475217734636055	0.7556628649629438	0	0	1.1153905328478384	0.8968075467924046	BATF2;JUN;CEBPB;SOCS1;PARP14;SOD2;NFE2L2
TRIM28 ENCODE	1/120	0.45299919523566695	0.7556628649629438	0	0	1.6790595025889143	1.3295883355209954	NFE2L2
RCOR1 ENCODE	4/702	0.46774295848921826	0.7556628649629438	0	0	1.146251193887297	0.8709633439172377	DNAJB1;UPP1;PARP14;UQCRH
SP1 ENCODE	4/707	0.47323675967508905	0.7556628649629438	0	0	1.1378022759601707	0.851257544023247	VASP;SARNP;PSME2;HNRNPA1
TP53 CHEA	2/319	0.47547326334747025	0.7556628649629438	0	0	1.2607352089100625	0.9372868172337755	CDKN1A;CCND2
SIN3A ENCODE	6/1131	0.5009197277225754	0.782137820479109	0	0	1.0652482269503547	0.7364161284336346	VASP;RBM39;CEBPB;RPL24;ATP5L;NFE2L2
NR2C2 ENCODE	2/350	0.5246980728022123	0.8051401461964982	0	0	1.146610368285245	0.7394860405207837	BATF2;COX17
SMC3 ENCODE	6/1181	0.5438029656116453	0.8067615137908003	0	0	1.0172023540063377	0.6196474219324919	JUN;CEBPB;MARCKSL1;SOCS1;CACYBP;NFE2L2
ETS1 ENCODE	1/156	0.5438841666005395	0.8067615137908003	0	0	1.2867383512544803	0.7836480831514409	NFE2L2
FOXP2 ENCODE	1/178	0.5918874117207544	0.863573436772904	0	0	1.125549278091651	0.5902817634935079	NFE2L2
FOSL2 ENCODE	1/196	0.6274146268959372	0.9006435773183615	0	0	1.0207200207200207	0.4758062593684267	UPP1
ZBTB7A ENCODE	10/2184	0.6635998716104006	0.9374664852908834	0	0	0.9059593171828683	0.3715120951676393	VASP;CEBPB;MARCKSL1;SYNGR2;SOCS1;PSME2;SOD2;CCDC50;NFE2L2;LIMD2
STAT5A ENCODE	1/233	0.6911079624436063	0.9503337020166469	0	0	0.8563218390804598	0.31637600434049457	NFE2L2
E2F4 ENCODE	3/710	0.6940639396750792	0.9503337020166469	0	0	0.839601044051386	0.30661490492508486	HSPA8;TRA2A;HNRNPA1
GABPA ENCODE	9/2082	0.725728167199768	0.9666343617800447	0	0	0.8505112832175061	0.2726567027251463	UBE2F;RBM3;DNAJA1;PRDX5;NDUFC2;CACYBP;COX5B;UQCRH;TMA16
YY1 ENCODE	12/2753	0.7384956222143176	0.9666343617800447	0	0	0.8536532784982256	0.2587765444527654	RBM3;HSPA8;RBM39;CEBPB;SARNP;TRA2A;RPL24;CACYBP;FAU;MAGOHB;HNRNPA1;UQCRH
SP2 ENCODE	4/994	0.738552096640933	0.9666343617800447	0	0	0.7958754208754208	0.24120089856571994	RBM39;SARNP;CACYBP;HNRNPA1
PPARG CHEA	2/535	0.7517070867114285	0.968238466031062	0	0	0.7415476509553165	0.21164403481982139	JUN;CDKN1A
PBX3 ENCODE	5/1269	0.7682475551531966	0.968238466031062	0	0	0.7759826782145236	0.2045826032479296	RBM39;SARNP;HNRNPA1;PSMB10;NFE2L2
FOXA2 ENCODE	1/316	0.7974150897750656	0.968238466031062	0	0	0.6280262946929613	0.14217254266011148	RBM39
NFYA ENCODE	9/2250	0.8060731888445843	0.968238466031062	0	0	0.779337128734719	0.16801007147738925	UBE2F;HSPA8;RBM39;PRDX5;JUN;NDUFA11;SARNP;PSME2;HNRNPA1
ELF1 ENCODE	10/2483	0.8102572011214048	0.968238466031062	0	0	0.7829896212427551	0.16474379550741156	RBM3;DNAJA1;HSPA8;PRDX5;CACYBP;MAGOHB;PARP14;COX5B;RPS27A;CCDC50
BHLHE40 ENCODE	1/348	0.8279046331469556	0.968238466031062	0	0	0.569178819899281	0.10749358003206866	CACYBP
FOS ENCODE	2/637	0.8321720961990393	0.968238466031062	0	0	0.6191547485135787	0.11374864192452228	SARNP;HNRNPA1
SALL4 CHEA	1/355	0.8339426940201101	0.968238466031062	0	0	0.5577241339953204	0.10127745521329998	CEBPB
E2F6 ENCODE	13/3245	0.8449667119542672	0.968238466031062	0	0	0.7706128371457835	0.12981593318260332	GSDMD;FAM49B;NDUFC2;CACYBP;TMA16;CCND2;RAP1A;SOCS1;IRF7;TSPO;UPP1;HNRNPA1;NFE2L2
IRF3 ENCODE	2/663	0.848568543263178	0.968238466031062	0	0	0.5939979622711414	0.09753708842950347	SARNP;HNRNPA1
TCF3 CHEA	3/1006	0.8848370405455257	0.9757696564501135	0	0	0.5826952133290849	0.07129379998965674	RTP4;IFITM2;UPP1
REST CHEA	4/1280	0.8896945548244178	0.9757696564501135	0	0	0.6081504702194357	0.07107884628734691	CACYBP;CFP;CCDC50;ATP5L
CTCF ENCODE	6/1790	0.8930526327452216	0.9757696564501135	0	0	0.6481728842667684	0.07331467976560577	JUN;CEBPB;MARCKSL1;SOCS1;CACYBP;NFE2L2
AR CHEA	3/1095	0.9166071548170699	0.9757696564501135	0	0	0.5326838110343265	0.046384135928655965	UBE2F;PRDX5;UPP1
USF1 ENCODE	4/1423	0.9316968785331224	0.9757696564501135	0	0	0.5426650223161851	0.03839233194993993	CACYBP;ABRACL;TMA16;PSMB10
NFYB ENCODE	13/3715	0.9467355659043897	0.9757696564501135	0	0	0.6538062681247166	0.03578638569807069	UBE2F;HSPA8;RBM39;JUN;NDUFA11;TMA16;RBM3;DNAJB1;PRDX5;SARNP;PSME2;HNRNPA1;CCDC50
SMAD4 CHEA	1/584	0.9487436883940011	0.9757696564501135	0	0	0.33468475492489214	0.017609974827679967	FAM49B
USF2 ENCODE	2/965	0.9571554238907664	0.9757696564501135	0	0	0.40131815966261897	0.01757351886631077	RBM3;PSMB10
SUZ12 CHEA	4/1684	0.9733640226247557	0.9757696564501135	0	0	0.45188492063492064	0.012199601727505574	IL15RA;JUN;CCND2;TNFAIP2
CREB1 ENCODE	6/2238	0.9736385465608014	0.9757696564501135	0	0	0.5052619537863189	0.013498147019599586	TRA2A;RPL24;CACYBP;FAU;MAGOHB;HNRNPA1
SIX5 ENCODE	2/1094	0.9757696564501135	0.9757696564501135	0	0	0.35149884129475967	0.008621819526249625	RPS27A;UQCRH
